MARKER 0 0 Group(0,0)-ATTACK 0 0 1
MARKER 1100 2060.456628453851 Group(2,216)-RELEASE 0 29274726 1
MARKER 1101 2060.456628453851 Group(2,217)-ATTACK 0 29274726 1
MARKER 1102 2061.197369194592 Group(2,217)-SUSTAIN 0 29274726 1
MARKER 1103 2062.1464432686657 Group(2,217)-RELEASE 0 29274726 1
MARKER 1104 2062.1464432686657 Group(2,218)-ATTACK 0 29274726 1
MARKER 1105 2063.1834803057027 Group(2,218)-SUSTAIN 0 29274726 1
MARKER 1106 2063.9969723691947 Group(2,218)-RELEASE 0 29274726 1
MARKER 1107 2063.9969723691947 Group(2,219)-ATTACK 0 29274726 1
MARKER 1108 2066.5578189300413 Group(2,219)-SUSTAIN 0 29274726 1
MARKER 1109 2068.0492210464436 Group(2,219)-RELEASE 0 29274726 1
MARKER 1110 2068.0492210464436 Group(2,220)-ATTACK 0 29274726 1
MARKER 1111 2071.217945326279 Group(2,220)-SUSTAIN 0 29274726 1
MARKER 1112 2073.305908289242 Group(2,220)-RELEASE 0 29274726 1
MARKER 1113 2073.305908289242 Group(2,221)-ATTACK 0 29274726 1
MARKER 1114 2083.2647560258674 Group(2,221)-SUSTAIN 0 29274726 1
MARKER 1115 2085.1629041740157 Group(2,221)-RELEASE 0 29274726 1
MARKER 1116 2085.1629041740157 Group(2,222)-ATTACK 0 29274726 1
MARKER 1117 2087.2369782480896 Group(2,222)-SUSTAIN 0 29274726 1
MARKER 1118 2088.8639623750737 Group(2,222)-RELEASE 0 29274726 1
MARKER 1119 2088.8639623750737 Group(2,223)-ATTACK 0 29274726 1
MARKER 1120 2097.4001175778953 Group(2,223)-SUSTAIN 0 29274726 1
MARKER 1121 2111.7175778953556 Group(2,223)-RELEASE 0 29274726 1
MARKER 1122 2111.717577895356 Group(2,224)-ATTACK 0 29274726 1
MARKER 1123 2112.881599059377 Group(2,224)-SUSTAIN 0 29274726 1
MARKER 1124 2124.211699000588 Group(2,224)-RELEASE 0 29274726 1
MARKER 1125 2124.2116990005884 Group(2,225)-ATTACK 0 29274726 1
MARKER 1126 2127.3804232804237 Group(2,225)-SUSTAIN 0 29274726 1
MARKER 1127 2144.0841269841276 Group(2,225)-RELEASE 0 29274726 1
MARKER 1128 2144.0841269841276 Group(2,226)-ATTACK 0 29274726 1
MARKER 1129 2147.669312169313 Group(2,226)-SUSTAIN 0 29274726 1
MARKER 1130 2156.780423280424 Group(2,226)-RELEASE 0 29274726 1
MARKER 1131 2156.7804232804237 Group(2,227)-ATTACK 0 29274726 1
MARKER 1132 2165.145855379189 Group(2,227)-SUSTAIN 0 29274726 1
MARKER 1133 2179.4633156966493 Group(2,227)-RELEASE 0 29274726 1
MARKER 1134 2179.4633156966497 Group(2,228)-ATTACK 0 29274726 1
MARKER 1135 2193.2918871252214 Group(2,228)-SUSTAIN 0 29274726 1
MARKER 1136 2194.756172839507 Group(2,228)-RELEASE 0 29274726 1
MARKER 1137 2194.7561728395067 Group(2,229)-ATTACK 0 29274726 1
MARKER 1138 2200.3561728395066 Group(2,229)-SUSTAIN 0 29274726 1
MARKER 1139 2201.4950617283953 Group(2,229)-RELEASE 0 29274726 1
MARKER 1140 2201.4950617283957 Group(2,230)-ATTACK 0 29274726 1
MARKER 1141 2203.895061728396 Group(2,230)-SUSTAIN 0 29274726 1
MARKER 1142 2222.494268077602 Group(2,230)-RELEASE 0 29274726 1
MARKER 1143 2222.494268077602 Group(2,231)-ATTACK 0 29274726 1
MARKER 1144 2229.1609347442686 Group(2,231)-SUSTAIN 0 29274726 1
MARKER 1145 2231.059082892417 Group(2,231)-RELEASE 0 29274726 1
MARKER 1146 2231.059082892417 Group(2,232)-ATTACK 0 29274726 1
MARKER 1147 2232.096119929454 Group(2,232)-SUSTAIN 0 29274726 1
MARKER 1148 2232.909611992946 Group(2,232)-RELEASE 0 29274726 1
MARKER 1149 2232.909611992946 Group(2,233)-ATTACK 0 29274726 1
MARKER 1150 2234.6380070546743 Group(2,233)-SUSTAIN 0 29274726 1
MARKER 1151 2238.3220458553797 Group(2,233)-RELEASE 0 29274726 1
MARKER 1152 2238.3220458553797 Group(2,234)-ATTACK 0 29274726 1
MARKER 1153 2240.7220458553797 Group(2,234)-SUSTAIN 0 29274726 1
MARKER 1154 2268.0553791887132 Group(2,234)-RELEASE 0 29274726 1
MARKER 1155 2268.055379188713 Group(2,235)-ATTACK 0 29274726 1
MARKER 1156 2273.240564373898 Group(2,235)-SUSTAIN 0 29274726 1
MARKER 1157 2292.7643738977076 Group(2,235)-RELEASE 0 29274726 1
MARKER 1158 2292.7643738977076 Group(2,236)-ATTACK 0 29274726 1
MARKER 1159 2302.097707231041 Group(2,236)-SUSTAIN 0 29274726 1
MARKER 1160 2317.2828924162263 Group(2,236)-RELEASE 0 29274726 1
MARKER 1161 2317.2828924162263 Group(2,237)-ATTACK 0 29274726 1
MARKER 1162 2319.3569664903002 Group(2,237)-SUSTAIN 0 29274726 1
MARKER 1163 2320.9839506172843 Group(2,237)-RELEASE 0 29274726 1
MARKER 1164 2320.9839506172843 Group(2,238)-ATTACK 0 29274726 1
MARKER 1165 2324.412522045856 Group(2,238)-SUSTAIN 0 29274726 1
MARKER 1166 2326.852998236332 Group(2,238)-RELEASE 0 29274726 1
MARKER 1167 2326.852998236332 Group(2,239)-ATTACK 0 29274726 1
MARKER 1168 2327.805379188713 Group(2,239)-SUSTAIN 0 29274726 1
MARKER 1169 2331.431834215168 Group(2,239)-RELEASE 0 29274726 1
MARKER 1170 2331.4318342151682 Group(2,240)-ATTACK 0 29274726 1
MARKER 1171 2336.0413580246923 Group(2,240)-SUSTAIN 0 29274726 1
MARKER 1172 2337.383619929454 Group(2,240)-RELEASE 0 29274726 1
MARKER 1173 2337.3836199294537 Group(2,241)-ATTACK 0 29274726 1
MARKER 1174 2343.78573633157 Group(2,241)-SUSTAIN 0 29274726 1
MARKER 1175 2345.0059744268083 Group(2,241)-RELEASE 0 29274726 1
MARKER 1176 2345.0059744268083 Group(2,242)-ATTACK 0 29274726 1
MARKER 1177 2356.529783950618 Group(2,242)-SUSTAIN 0 29274726 1
MARKER 1178 2358.02118606702 Group(2,242)-RELEASE 0 29274726 1
MARKER 1179 2358.0211860670197 Group(2,243)-ATTACK 0 29274726 1
MARKER 1180 2364.9923794826577 Group(2,243)-SUSTAIN 0 29274726 1
MARKER 1181 2365.9414535567316 Group(2,243)-RELEASE 0 29274726 1
MARKER 1182 2365.9414535567316 Group(2,244)-ATTACK 0 29274726 1
MARKER 1183 2369.274786890065 Group(2,244)-SUSTAIN 0 29274726 1
MARKER 1184 2370.9831202233986 Group(2,244)-RELEASE 0 29274726 1
MARKER 1185 2370.983120223398 Group(2,245)-ATTACK 0 29274726 1
MARKER 1186 2373.5757128159908 Group(2,245)-SUSTAIN 0 29274726 1
MARKER 1187 2376.021002351558 Group(2,245)-RELEASE 0 29274726 1
MARKER 1188 2376.021002351558 Group(2,246)-ATTACK 0 29274726 1
MARKER 1189 2382.4231187536743 Group(2,246)-SUSTAIN 0 29274726 1
MARKER 1190 2383.7653806584362 Group(2,246)-RELEASE 0 29274726 1
MARKER 1191 2383.7653806584362 Group(2,247)-ATTACK 0 29274726 1
MARKER 1192 2394.032047325103 Group(2,247)-SUSTAIN 0 29274726 1
MARKER 1193 2396.120010288066 Group(2,247)-RELEASE 0 29274726 1
MARKER 1194 2396.1200102880657 Group(2,248)-ATTACK 0 29274726 1
MARKER 1195 2412.253343621399 Group(2,248)-SUSTAIN 0 29274726 1
MARKER 1196 2413.9616769547324 Group(2,248)-RELEASE 0 29274726 1
MARKER 1197 2413.9616769547324 Group(2,249)-ATTACK 0 29274726 1
MARKER 1198 2420.628343621399 Group(2,249)-SUSTAIN 0 29274726 1
MARKER 1199 2422.526491769547 Group(2,249)-RELEASE 0 29274726 1
MARKER 1200 2422.526491769547 Group(2,250)-ATTACK 0 29274726 1
MARKER 1201 2432.4853395061727 Group(2,250)-SUSTAIN 0 29274726 1
MARKER 1202 2434.573302469136 Group(2,250)-RELEASE 0 29274726 1
MARKER 1203 2434.573302469136 Group(2,251)-ATTACK 0 29274726 1
MARKER 1204 2437.742026748971 Group(2,251)-SUSTAIN 0 29274726 1
MARKER 1205 2439.2334288653733 Group(2,251)-RELEASE 0 29274726 1
MARKER 1206 2439.2334288653733 Group(2,252)-ATTACK 0 29274726 1
MARKER 1207 2440.3974500293943 Group(2,252)-SUSTAIN 0 29274726 1
MARKER 1208 2442.1871325690768 Group(2,252)-RELEASE 0 29274726 1
MARKER 1209 2442.187132569077 Group(2,253)-ATTACK 0 29274726 1
MARKER 1210 2450.5525646678425 Group(2,253)-SUSTAIN 0 29274726 1
MARKER 1211 2451.691453556731 Group(2,253)-RELEASE 0 29274726 1
MARKER 1212 2451.6914535567316 Group(2,254)-ATTACK 0 29274726 1
MARKER 1213 2455.276638741917 Group(2,254)-SUSTAIN 0 29274726 1
MARKER 1214 2457.36460170488 Group(2,254)-RELEASE 0 29274726 1
MARKER 1215 2457.36460170488 Group(2,255)-ATTACK 0 29274726 1
MARKER 1216 2473.497935038213 Group(2,255)-SUSTAIN 0 29274726 1
MARKER 1217 2475.2062683715467 Group(2,255)-RELEASE 0 29274726 1
MARKER 1218 2475.2062683715467 Group(2,256)-ATTACK 0 29274726 1
MARKER 1219 2477.0729350382135 Group(2,256)-SUSTAIN 0 29274726 1
MARKER 1220 2478.5372207524993 Group(2,256)-RELEASE 0 29274726 1
MARKER 1221 2478.5372207524993 Group(2,257)-ATTACK 0 29274726 1
MARKER 1222 2484.137220752499 Group(2,257)-SUSTAIN 0 29274726 1
MARKER 1223 2485.276109641388 Group(2,257)-RELEASE 0 29274726 1
MARKER 1224 2485.2761096413883 Group(2,258)-ATTACK 0 29274726 1
MARKER 1225 2493.6415417401536 Group(2,258)-SUSTAIN 0 29274726 1
MARKER 1226 2495.431224279836 Group(2,258)-RELEASE 0 29274726 1
MARKER 1227 2495.4312242798364 Group(2,259)-ATTACK 0 29274726 1
MARKER 1228 2499.202652851265 Group(2,259)-SUSTAIN 0 29274726 1
MARKER 1229 2500.544914756027 Group(2,259)-RELEASE 0 29274726 1
MARKER 1230 2500.544914756027 Group(2,260)-ATTACK 0 29274726 1
MARKER 1231 2505.154438565551 Group(2,260)-SUSTAIN 0 29274726 1
MARKER 1232 2506.618724279837 Group(2,260)-RELEASE 0 29274726 1
MARKER 1233 2506.6187242798364 Group(2,261)-ATTACK 0 29274726 1
MARKER 1234 2508.4853909465032 Group(2,261)-SUSTAIN 0 29274726 1
MARKER 1235 2510.1937242798367 Group(2,261)-RELEASE 0 29274726 1
MARKER 1236 2510.1937242798363 Group(2,262)-ATTACK 0 29274726 1
MARKER 1237 2522.7418724279846 Group(2,262)-SUSTAIN 0 29274726 1
MARKER 1238 2524.0841343327465 Group(2,262)-RELEASE 0 29274726 1
MARKER 1239 2524.084134332746 Group(2,263)-ATTACK 0 29274726 1
MARKER 1240 2534.350800999413 Group(2,263)-SUSTAIN 0 29274726 1
MARKER 1241 2536.438763962376 Group(2,263)-RELEASE 0 29274726 1
MARKER 1242 2536.4387639623756 Group(2,264)-ATTACK 0 29274726 1
MARKER 1243 2539.607488242211 Group(2,264)-SUSTAIN 0 29274726 1
MARKER 1244 2541.098890358613 Group(2,264)-RELEASE 0 29274726 1
MARKER 1245 2541.098890358613 Group(2,265)-ATTACK 0 29274726 1
MARKER 1246 2552.6226998824227 Group(2,265)-SUSTAIN 0 29274726 1
MARKER 1247 2553.8429379776608 Group(2,265)-RELEASE 0 29274726 1
MARKER 1248 2553.8429379776608 Group(2,266)-ATTACK 0 29274726 1
MARKER 1249 2560.2450543797772 Group(2,266)-SUSTAIN 0 29274726 1
MARKER 1250 2562.929578189301 Group(2,266)-RELEASE 0 29274726 1
MARKER 1251 2562.929578189301 Group(2,267)-ATTACK 0 29274726 1
MARKER 1252 2566.70100676073 Group(2,267)-SUSTAIN 0 29274726 1
MARKER 1253 2568.490689300412 Group(2,267)-RELEASE 0 29274726 1
MARKER 1254 2568.490689300412 Group(2,268)-ATTACK 0 29274726 1
MARKER 1255 2577.026844503234 Group(2,268)-SUSTAIN 0 29274726 1
MARKER 1256 2578.653828630218 Group(2,268)-RELEASE 0 29274726 1
MARKER 1257 2578.6538286302184 Group(2,269)-ATTACK 0 29274726 1
MARKER 1258 2583.7755217519116 Group(2,269)-SUSTAIN 0 29274726 1
MARKER 1259 2585.266923868314 Group(2,269)-RELEASE 0 29274726 1
MARKER 1260 2585.266923868314 Group(2,270)-ATTACK 0 29274726 1
MARKER 1261 2590.5050191064092 Group(2,270)-SUSTAIN 0 29274726 1
MARKER 1262 2593.189542915933 Group(2,270)-RELEASE 0 29274726 1
MARKER 1263 2593.189542915933 Group(2,271)-ATTACK 0 29274726 1
MARKER 1264 2597.799066725457 Group(2,271)-SUSTAIN 0 29274726 1
MARKER 1265 2599.263352439743 Group(2,271)-RELEASE 0 29274726 1
MARKER 1266 2599.2633524397424 Group(2,272)-ATTACK 0 29274726 1
MARKER 1267 2613.091923868314 Group(2,272)-SUSTAIN 0 29274726 1
MARKER 1268 2614.8816064079965 Group(2,272)-RELEASE 0 29274726 1
MARKER 1269 2614.8816064079965 Group(2,273)-ATTACK 0 29274726 1
MARKER 1270 2623.417761610818 Group(2,273)-SUSTAIN 0 29274726 1
MARKER 1271 2625.0447457378023 Group(2,273)-RELEASE 0 29274726 1
MARKER 1272 2625.0447457378027 Group(2,274)-ATTACK 0 29274726 1
MARKER 1273 2628.4733171663743 Group(2,274)-SUSTAIN 0 29274726 1
MARKER 1274 2629.6935552616123 Group(2,274)-RELEASE 0 29274726 1
MARKER 1275 2629.6935552616123 Group(2,275)-ATTACK 0 29274726 1
MARKER 1276 2630.645936213993 Group(2,275)-SUSTAIN 0 29274726 1
MARKER 1277 2632.110221928279 Group(2,275)-RELEASE 0 29274726 1
MARKER 1278 2632.110221928279 Group(2,276)-ATTACK 0 29274726 1
MARKER 1279 2637.7102219282788 Group(2,276)-SUSTAIN 0 29274726 1
MARKER 1280 2638.8491108171675 Group(2,276)-RELEASE 0 29274726 1
MARKER 1281 2638.849110817168 Group(2,277)-ATTACK 0 29274726 1
MARKER 1282 2639.589851557909 Group(2,277)-SUSTAIN 0 29274726 1
MARKER 1283 2640.5389256319827 Group(2,277)-RELEASE 0 29274726 1
MARKER 1284 2640.5389256319827 Group(2,278)-ATTACK 0 29274726 1
MARKER 1285 2641.5759626690196 Group(2,278)-SUSTAIN 0 29274726 1
MARKER 1286 2642.3894547325117 Group(2,278)-RELEASE 0 29274726 1
MARKER 1287 2642.3894547325117 Group(2,279)-ATTACK 0 29274726 1
MARKER 1288 2644.9503012933583 Group(2,279)-SUSTAIN 0 29274726 1
MARKER 1289 2646.4417034097605 Group(2,279)-RELEASE 0 29274726 1
MARKER 1290 2646.4417034097605 Group(2,280)-ATTACK 0 29274726 1
MARKER 1291 2649.610427689596 Group(2,280)-SUSTAIN 0 29274726 1
MARKER 1292 2651.698390652559 Group(2,280)-RELEASE 0 29274726 1
MARKER 1293 2651.698390652559 Group(2,281)-ATTACK 0 29274726 1
MARKER 1294 2661.6572383891844 Group(2,281)-SUSTAIN 0 29274726 1
MARKER 1295 2663.5553865373327 Group(2,281)-RELEASE 0 29274726 1
MARKER 1296 2663.5553865373327 Group(2,282)-ATTACK 0 29274726 1
MARKER 1297 2665.6294606114066 Group(2,282)-SUSTAIN 0 29274726 1
MARKER 1298 2667.2564447383907 Group(2,282)-RELEASE 0 29274726 1
MARKER 1299 2667.2564447383907 Group(2,283)-ATTACK 0 29274726 1
MARKER 1300 2675.7925999412123 Group(2,283)-SUSTAIN 0 29274726 1
MARKER 1301 2690.1100602586725 Group(2,283)-RELEASE 0 29274726 1
MARKER 1302 2690.110060258673 Group(2,284)-ATTACK 0 29274726 1
MARKER 1303 2691.274081422694 Group(2,284)-SUSTAIN 0 29274726 1
MARKER 1304 2702.604181363905 Group(2,284)-RELEASE 0 29274726 1
MARKER 1305 2702.6041813639054 Group(2,285)-ATTACK 0 29274726 1
MARKER 1306 2705.7729056437406 Group(2,285)-SUSTAIN 0 29274726 1
MARKER 1307 2722.4766093474445 Group(2,285)-RELEASE 0 29274726 1
MARKER 1308 2722.4766093474445 Group(2,286)-ATTACK 0 29274726 1
MARKER 1309 2726.06179453263 Group(2,286)-SUSTAIN 0 29274726 1
MARKER 1310 2735.172905643741 Group(2,286)-RELEASE 0 29274726 1
MARKER 1311 2735.1729056437407 Group(2,287)-ATTACK 0 29274726 1
MARKER 1312 2743.538337742506 Group(2,287)-SUSTAIN 0 29274726 1
MARKER 1313 2757.855798059966 Group(2,287)-RELEASE 0 29274726 1
MARKER 1314 2757.8557980599667 Group(2,288)-ATTACK 0 29274726 1
MARKER 1315 2771.6843694885383 Group(2,288)-SUSTAIN 0 29274726 1
MARKER 1316 2773.148655202824 Group(2,288)-RELEASE 0 29274726 1
MARKER 1317 2773.1486552028236 Group(2,289)-ATTACK 0 29274726 1
MARKER 1318 2778.7486552028236 Group(2,289)-SUSTAIN 0 29274726 1
MARKER 1319 2779.8875440917122 Group(2,289)-RELEASE 0 29274726 1
MARKER 1320 2779.8875440917127 Group(2,290)-ATTACK 0 29274726 1
MARKER 1321 2782.287544091713 Group(2,290)-SUSTAIN 0 29274726 1
MARKER 1322 2800.886750440919 Group(2,290)-RELEASE 0 29274726 1
MARKER 1323 2800.886750440919 Group(2,291)-ATTACK 0 29274726 1
MARKER 1324 2807.5534171075856 Group(2,291)-SUSTAIN 0 29274726 1
MARKER 1325 2809.451565255734 Group(2,291)-RELEASE 0 29274726 1
MARKER 1326 2809.451565255734 Group(2,292)-ATTACK 0 29274726 1
MARKER 1327 2810.488602292771 Group(2,292)-SUSTAIN 0 29274726 1
MARKER 1328 2811.302094356263 Group(2,292)-RELEASE 0 29274726 1
MARKER 1329 2811.302094356263 Group(2,293)-ATTACK 0 29274726 1
MARKER 1330 2813.0304894179912 Group(2,293)-SUSTAIN 0 29274726 1
MARKER 1331 2816.7145282186966 Group(2,293)-RELEASE 0 29274726 1
MARKER 1332 2816.7145282186966 Group(2,294)-ATTACK 0 29274726 1
MARKER 1333 2819.1145282186967 Group(2,294)-SUSTAIN 0 29274726 1
MARKER 1334 2846.44786155203 Group(2,294)-RELEASE 0 29274726 1
MARKER 1335 2846.4478615520297 Group(2,295)-ATTACK 0 29274726 1
MARKER 1336 2851.633046737215 Group(2,295)-SUSTAIN 0 29274726 1
MARKER 1337 2871.1568562610246 Group(2,295)-RELEASE 0 29274726 1
MARKER 1338 2871.1568562610246 Group(2,296)-ATTACK 0 29274726 1
MARKER 1339 2880.490189594358 Group(2,296)-SUSTAIN 0 29274726 1
MARKER 1340 2895.6753747795433 Group(2,296)-RELEASE 0 29274726 1
MARKER 1341 2895.6753747795433 Group(2,297)-ATTACK 0 29274726 1
MARKER 1342 2897.749448853617 Group(2,297)-SUSTAIN 0 29274726 1
MARKER 1343 2899.3764329806013 Group(2,297)-RELEASE 0 29274726 1
MARKER 1344 2899.3764329806013 Group(2,298)-ATTACK 0 29274726 1
MARKER 1345 2902.805004409173 Group(2,298)-SUSTAIN 0 29274726 1
MARKER 1346 2905.245480599649 Group(2,298)-RELEASE 0 29274726 1
MARKER 1347 2905.245480599649 Group(2,299)-ATTACK 0 29274726 1
MARKER 1348 2906.1978615520297 Group(2,299)-SUSTAIN 0 29274726 1
MARKER 1349 2909.8243165784847 Group(2,299)-RELEASE 0 29274726 1
MARKER 1350 2909.824316578485 Group(2,300)-ATTACK 0 29274726 1
MARKER 1351 2914.4338403880092 Group(2,300)-SUSTAIN 0 29274726 1
MARKER 1352 2915.776102292771 Group(2,300)-RELEASE 0 29274726 1
MARKER 1353 2915.7761022927707 Group(2,301)-ATTACK 0 29274726 1
MARKER 1354 2922.178218694887 Group(2,301)-SUSTAIN 0 29274726 1
MARKER 1355 2923.3984567901252 Group(2,301)-RELEASE 0 29274726 1
MARKER 1356 2923.3984567901252 Group(2,302)-ATTACK 0 29274726 1
MARKER 1357 2934.922266313935 Group(2,302)-SUSTAIN 0 29274726 1
MARKER 1358 2936.413668430337 Group(2,302)-RELEASE 0 29274726 1
MARKER 1359 2936.4136684303367 Group(2,303)-ATTACK 0 29274726 1
MARKER 1360 2943.3848618459747 Group(2,303)-SUSTAIN 0 29274726 1
MARKER 1361 2944.3339359200486 Group(2,303)-RELEASE 0 29274726 1
MARKER 1362 2944.3339359200486 Group(2,304)-ATTACK 0 29274726 1
MARKER 1363 2947.667269253382 Group(2,304)-SUSTAIN 0 29274726 1
MARKER 1364 2949.3756025867156 Group(2,304)-RELEASE 0 29274726 1
MARKER 1365 2949.375602586715 Group(2,305)-ATTACK 0 29274726 1
MARKER 1366 2951.9681951793077 Group(2,305)-SUSTAIN 0 29274726 1
MARKER 1367 2954.413484714875 Group(2,305)-RELEASE 0 29274726 1
MARKER 1368 2954.413484714875 Group(2,306)-ATTACK 0 29274726 1
MARKER 1369 2960.8156011169913 Group(2,306)-SUSTAIN 0 29274726 1
MARKER 1370 2962.157863021753 Group(2,306)-RELEASE 0 29274726 1
MARKER 1371 2962.157863021753 Group(2,307)-ATTACK 0 29274726 1
MARKER 1372 2972.42452968842 Group(2,307)-SUSTAIN 0 29274726 1
MARKER 1373 2974.512492651383 Group(2,307)-RELEASE 0 29274726 1
MARKER 1374 2974.5124926513827 Group(2,308)-ATTACK 0 29274726 1
MARKER 1375 2990.645825984716 Group(2,308)-SUSTAIN 0 29274726 1
MARKER 1376 2992.3541593180494 Group(2,308)-RELEASE 0 29274726 1
MARKER 1377 2992.3541593180494 Group(2,309)-ATTACK 0 29274726 1
MARKER 1378 2999.020825984716 Group(2,309)-SUSTAIN 0 29274726 1
MARKER 1379 3000.918974132864 Group(2,309)-RELEASE 0 29274726 1
MARKER 1380 3000.918974132864 Group(2,310)-ATTACK 0 29274726 1
MARKER 1381 3010.8778218694897 Group(2,310)-SUSTAIN 0 29274726 1
MARKER 1382 3012.9657848324528 Group(2,310)-RELEASE 0 29274726 1
MARKER 1383 3012.9657848324528 Group(2,311)-ATTACK 0 29274726 1
MARKER 1384 3016.134509112288 Group(2,311)-SUSTAIN 0 29274726 1
MARKER 1385 3017.6259112286903 Group(2,311)-RELEASE 0 29274726 1
MARKER 1386 3017.6259112286903 Group(2,312)-ATTACK 0 29274726 1
MARKER 1387 3018.7899323927113 Group(2,312)-SUSTAIN 0 29274726 1
MARKER 1388 3020.5796149323937 Group(2,312)-RELEASE 0 29274726 1
MARKER 1389 3020.579614932394 Group(2,313)-ATTACK 0 29274726 1
MARKER 1390 3028.9450470311594 Group(2,313)-SUSTAIN 0 29274726 1
MARKER 1391 3030.083935920048 Group(2,313)-RELEASE 0 29274726 1
MARKER 1392 3030.0839359200486 Group(2,314)-ATTACK 0 29274726 1
MARKER 1393 3033.669121105234 Group(2,314)-SUSTAIN 0 29274726 1
MARKER 1394 3035.757084068197 Group(2,314)-RELEASE 0 29274726 1
MARKER 1395 3035.757084068197 Group(2,315)-ATTACK 0 29274726 1
MARKER 1396 3051.89041740153 Group(2,315)-SUSTAIN 0 29274726 1
MARKER 1397 3053.5987507348636 Group(2,315)-RELEASE 0 29274726 1
MARKER 1398 3053.5987507348636 Group(2,316)-ATTACK 0 29274726 1
MARKER 1399 3055.4654174015304 Group(2,316)-SUSTAIN 0 29274726 1
MARKER 1400 3056.929703115816 Group(2,316)-RELEASE 0 29274726 1
MARKER 1401 3056.929703115816 Group(2,317)-ATTACK 0 29274726 1
MARKER 1402 3062.529703115816 Group(2,317)-SUSTAIN 0 29274726 1
MARKER 1403 3063.668592004705 Group(2,317)-RELEASE 0 29274726 1
MARKER 1404 3063.6685920047053 Group(2,318)-ATTACK 0 29274726 1
MARKER 1405 3072.0340241034705 Group(2,318)-SUSTAIN 0 29274726 1
MARKER 1406 3073.823706643153 Group(2,318)-RELEASE 0 29274726 1
MARKER 1407 3073.8237066431534 Group(2,319)-ATTACK 0 29274726 1
MARKER 1408 3077.595135214582 Group(2,319)-SUSTAIN 0 29274726 1
MARKER 1409 3078.937397119344 Group(2,319)-RELEASE 0 29274726 1
MARKER 1410 3078.937397119344 Group(2,320)-ATTACK 0 29274726 1
MARKER 1411 3083.546920928868 Group(2,320)-SUSTAIN 0 29274726 1
MARKER 1412 3085.011206643154 Group(2,320)-RELEASE 0 29274726 1
MARKER 1413 3085.0112066431534 Group(2,321)-ATTACK 0 29274726 1
MARKER 1414 3086.87787330982 Group(2,321)-SUSTAIN 0 29274726 1
MARKER 1415 3088.5862066431537 Group(2,321)-RELEASE 0 29274726 1
MARKER 1416 3088.586206643153 Group(2,322)-ATTACK 0 29274726 1
MARKER 1417 3101.1343547913016 Group(2,322)-SUSTAIN 0 29274726 1
MARKER 1418 3102.4766166960635 Group(2,322)-RELEASE 0 29274726 1
MARKER 1419 3102.476616696063 Group(2,323)-ATTACK 0 29274726 1
MARKER 1420 3112.74328336273 Group(2,323)-SUSTAIN 0 29274726 1
MARKER 1421 3114.831246325693 Group(2,323)-RELEASE 0 29274726 1
MARKER 1422 3114.8312463256925 Group(2,324)-ATTACK 0 29274726 1
MARKER 1423 3117.999970605528 Group(2,324)-SUSTAIN 0 29274726 1
MARKER 1424 3119.49137272193 Group(2,324)-RELEASE 0 29274726 1
MARKER 1425 3119.49137272193 Group(2,325)-ATTACK 0 29274726 1
MARKER 1426 3131.0151822457397 Group(2,325)-SUSTAIN 0 29274726 1
MARKER 1427 3132.2354203409777 Group(2,325)-RELEASE 0 29274726 1
MARKER 1428 3132.2354203409777 Group(2,326)-ATTACK 0 29274726 1
MARKER 1429 3138.637536743094 Group(2,326)-SUSTAIN 0 29274726 1
MARKER 1430 3141.322060552618 Group(2,326)-RELEASE 0 29274726 1
MARKER 1431 3141.322060552618 Group(2,327)-ATTACK 0 29274726 1
MARKER 1432 3145.0934891240468 Group(2,327)-SUSTAIN 0 29274726 1
MARKER 1433 3146.883171663729 Group(2,327)-RELEASE 0 29274726 1
MARKER 1434 3146.883171663729 Group(2,328)-ATTACK 0 29274726 1
MARKER 1435 3155.419326866551 Group(2,328)-SUSTAIN 0 29274726 1
MARKER 1436 3157.046310993535 Group(2,328)-RELEASE 0 29274726 1
MARKER 1437 3157.0463109935354 Group(2,329)-ATTACK 0 29274726 1
MARKER 1438 3162.1680041152285 Group(2,329)-SUSTAIN 0 29274726 1
MARKER 1439 3163.659406231631 Group(2,329)-RELEASE 0 29274726 1
MARKER 1440 3163.659406231631 Group(2,330)-ATTACK 0 29274726 1
MARKER 1441 3168.897501469726 Group(2,330)-SUSTAIN 0 29274726 1
MARKER 1442 3171.58202527925 Group(2,330)-RELEASE 0 29274726 1
MARKER 1443 3171.58202527925 Group(2,331)-ATTACK 0 29274726 1
MARKER 1444 3176.191549088774 Group(2,331)-SUSTAIN 0 29274726 1
MARKER 1445 3177.65583480306 Group(2,331)-RELEASE 0 29274726 1
MARKER 1446 3177.6558348030594 Group(2,332)-ATTACK 0 29274726 1
MARKER 1447 3191.484406231631 Group(2,332)-SUSTAIN 0 29274726 1
MARKER 1448 3193.2740887713135 Group(2,332)-RELEASE 0 29274726 1
MARKER 1449 3193.2740887713135 Group(2,333)-ATTACK 0 29274726 1
MARKER 1450 3201.810243974135 Group(2,333)-SUSTAIN 0 29274726 1
MARKER 1451 3203.437228101119 Group(2,333)-RELEASE 0 29274726 1
MARKER 1452 3203.4372281011197 Group(2,334)-ATTACK 0 29274726 1
MARKER 1453 3206.8657995296912 Group(2,334)-SUSTAIN 0 29274726 1
MARKER 1454 3208.0860376249293 Group(2,334)-RELEASE 0 29274726 1
MARKER 1455 3208.0860376249293 Group(2,335)-ATTACK 0 29274726 1
