MARKER 0 0 Group(0,0)-ATTACK 0 0 1
MARKER 255 1545.027035567313 Group(1,55)-ATTACK 0 21274726 1
MARKER 256 1549.7801219870662 Group(1,55)-SUSTAIN 0 21274726 1
MARKER 257 1583.7851190476188 Group(1,55)-RELEASE 0 21274726 1
MARKER 258 1583.7851190476188 Group(1,56)-ATTACK 0 21274726 1
MARKER 259 1632.1851190476189 Group(1,56)-SUSTAIN 0 21274726 1
MARKER 260 1642.4351190476189 Group(1,56)-RELEASE 0 21274726 1
MARKER 261 1642.4351190476189 Group(1,57)-ATTACK 0 21274726 1
MARKER 262 1652.4351190476189 Group(1,57)-SUSTAIN 0 21274726 1
MARKER 263 1658.1295634920632 Group(1,57)-RELEASE 0 21274726 1
MARKER 264 1658.1295634920632 Group(1,58)-ATTACK 0 21274726 1
MARKER 265 1664.1295634920632 Group(1,58)-SUSTAIN 0 21274726 1
MARKER 266 1737.5941137566135 Group(1,58)-RELEASE 0 21274726 1
MARKER 267 1737.5941137566135 Group(1,59)-ATTACK 0 21274726 1
MARKER 268 1742.2607804232803 Group(1,59)-SUSTAIN 0 21274726 1
MARKER 269 1749.582208994709 Group(1,59)-RELEASE 0 21274726 1
MARKER 270 1749.5822089947087 Group(1,60)-ATTACK 0 21274726 1
MARKER 271 1761.1060185185183 Group(1,60)-SUSTAIN 0 21274726 1
MARKER 272 1775.2717078189298 Group(1,60)-RELEASE 0 21274726 1
MARKER 273 1775.2717078189298 Group(1,61)-ATTACK 0 21274726 1
MARKER 274 1790.956893004115 Group(1,61)-SUSTAIN 0 21274726 1
MARKER 275 1795.2277263374483 Group(1,61)-RELEASE 0 21274726 1
MARKER 276 1795.2277263374483 Group(1,62)-ATTACK 0 21274726 1
MARKER 277 1806.431430041152 Group(1,62)-SUSTAIN 0 21274726 1
MARKER 278 1834.3191945914166 Group(1,62)-RELEASE 0 21274726 1
MARKER 279 1834.3191945914166 Group(1,63)-ATTACK 0 21274726 1
MARKER 280 1843.4858612580833 Group(1,63)-SUSTAIN 0 21274726 1
MARKER 281 1860.9136978248089 Group(1,63)-RELEASE 0 21274726 1
MARKER 282 1860.9136978248087 Group(1,64)-ATTACK 0 21274726 1
MARKER 283 1861.9322163433271 Group(1,64)-SUSTAIN 0 21274726 1
MARKER 284 1880.9887860082301 Group(1,64)-RELEASE 0 21274726 1
MARKER 285 1880.9887860082301 Group(1,65)-ATTACK 0 21274726 1
MARKER 286 1893.08878600823 Group(1,65)-SUSTAIN 0 21274726 1
MARKER 287 1906.3607877718985 Group(1,65)-RELEASE 0 21274726 1
MARKER 288 1906.3607877718987 Group(1,66)-ATTACK 0 21274726 1
MARKER 289 1915.7718988830097 Group(1,66)-SUSTAIN 0 21274726 1
MARKER 290 1927.8762419165193 Group(1,66)-RELEASE 0 21274726 1
MARKER 291 1927.8762419165196 Group(1,67)-ATTACK 0 21274726 1
MARKER 292 1930.4429085831862 Group(1,67)-SUSTAIN 0 21274726 1
MARKER 293 1952.5010141093474 Group(1,67)-RELEASE 0 21274726 1
MARKER 294 1952.5010141093474 Group(1,68)-ATTACK 0 21274726 1
MARKER 295 1966.7602733686067 Group(1,68)-SUSTAIN 0 21274726 1
MARKER 296 1984.065667254556 Group(1,68)-RELEASE 0 21274726 1
MARKER 297 1984.065667254556 Group(1,69)-ATTACK 0 21274726 1
MARKER 298 1988.7799529688418 Group(1,69)-SUSTAIN 0 21274726 1
MARKER 299 2005.5649176954732 Group(1,69)-RELEASE 0 21274726 1
MARKER 300 2005.5649176954732 Group(1,70)-ATTACK 0 21274726 1
MARKER 301 2013.4220605526161 Group(1,70)-SUSTAIN 0 21274726 1
MARKER 302 2035.9556143445031 Group(1,70)-RELEASE 0 21274726 1
MARKER 303 2035.9556143445031 Group(1,71)-ATTACK 0 21274726 1
MARKER 304 2045.5587889476778 Group(1,71)-SUSTAIN 0 21274726 1
MARKER 305 2053.0177395649616 Group(1,71)-RELEASE 0 21274726 1
MARKER 306 2053.0177395649616 Group(1,72)-ATTACK 0 21274726 1
MARKER 307 2060.0177395649616 Group(1,72)-SUSTAIN 0 21274726 1
MARKER 308 2063.036654908877 Group(1,72)-RELEASE 0 21274726 1
MARKER 309 2063.036654908877 Group(1,73)-ATTACK 0 21274726 1
MARKER 310 2067.5181363903584 Group(1,73)-SUSTAIN 0 21274726 1
MARKER 311 2084.774015285126 Group(1,73)-RELEASE 0 21274726 1
MARKER 312 2084.7740152851266 Group(1,74)-ATTACK 0 21274726 1
MARKER 313 2087.6258671369783 Group(1,74)-SUSTAIN 0 21274726 1
MARKER 314 2123.419517930629 Group(1,74)-RELEASE 0 21274726 1
MARKER 315 2123.4195179306294 Group(1,75)-ATTACK 0 21274726 1
MARKER 316 2128.1726043503822 Group(1,75)-SUSTAIN 0 21274726 1
MARKER 317 2162.177601410935 Group(1,75)-RELEASE 0 21274726 1
MARKER 318 2162.177601410935 Group(1,76)-ATTACK 0 21274726 1
MARKER 319 2210.577601410935 Group(1,76)-SUSTAIN 0 21274726 1
MARKER 320 2220.827601410935 Group(1,76)-RELEASE 0 21274726 1
MARKER 321 2220.827601410935 Group(1,77)-ATTACK 0 21274726 1
MARKER 322 2230.827601410935 Group(1,77)-SUSTAIN 0 21274726 1
MARKER 323 2236.5220458553795 Group(1,77)-RELEASE 0 21274726 1
MARKER 324 2236.5220458553795 Group(1,78)-ATTACK 0 21274726 1
MARKER 325 2242.5220458553795 Group(1,78)-SUSTAIN 0 21274726 1
MARKER 326 2315.98659611993 Group(1,78)-RELEASE 0 21274726 1
MARKER 327 2315.98659611993 Group(1,79)-ATTACK 0 21274726 1
MARKER 328 2320.6532627865963 Group(1,79)-SUSTAIN 0 21274726 1
MARKER 329 2327.9746913580248 Group(1,79)-RELEASE 0 21274726 1
MARKER 330 2327.974691358025 Group(1,80)-ATTACK 0 21274726 1
MARKER 331 2339.498500881835 Group(1,80)-SUSTAIN 0 21274726 1
MARKER 332 2353.6641901822463 Group(1,80)-RELEASE 0 21274726 1
MARKER 333 2353.6641901822463 Group(1,81)-ATTACK 0 21274726 1
MARKER 334 2369.3493753674315 Group(1,81)-SUSTAIN 0 21274726 1
MARKER 335 2373.620208700765 Group(1,81)-RELEASE 0 21274726 1
MARKER 336 2373.620208700765 Group(1,82)-ATTACK 0 21274726 1
MARKER 337 2384.823912404469 Group(1,82)-SUSTAIN 0 21274726 1
MARKER 338 2412.7116769547333 Group(1,82)-RELEASE 0 21274726 1
MARKER 339 2412.7116769547333 Group(1,83)-ATTACK 0 21274726 1
MARKER 340 2421.8783436214 Group(1,83)-SUSTAIN 0 21274726 1
MARKER 341 2439.3061801881254 Group(1,83)-RELEASE 0 21274726 1
MARKER 342 2439.3061801881254 Group(1,84)-ATTACK 0 21274726 1
MARKER 343 2440.324698706644 Group(1,84)-SUSTAIN 0 21274726 1
MARKER 344 2459.381268371547 Group(1,84)-RELEASE 0 21274726 1
MARKER 345 2459.381268371547 Group(1,85)-ATTACK 0 21274726 1
MARKER 346 2471.481268371547 Group(1,85)-SUSTAIN 0 21274726 1
MARKER 347 2484.753270135215 Group(1,85)-RELEASE 0 21274726 1
